,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c
8,8,odp1018,3500 ka - M2,2.657222222222222,0.1794372102388483,18,-0.2766666666666666,0.2150512934709517,18,0,2.9267520832864338,-0.2524192053353598,#DF2020
16,16,odp1148,3500 ka - M2,3.0316666666666667,0.6960334043707959,9,-0.1088888888888888,0.3014827708362637,9,0,2.9267520832864338,-0.2524192053353598,#DF2020
32,32,odp1125,3500 ka - M2,2.816666666666667,0.1410584985032805,81,-0.5559259259259259,0.1910679053228051,81,0,2.9267520832864338,-0.2524192053353598,#DF2020
48,48,odp1208,3500 ka - M2,3.261304347826087,0.1535359034795738,69,-0.0386764705882352,0.1705907594194294,68,2,3.368870826835666,0.05990613175420637,#2095DF
56,56,odp1239,3500 ka - M2,3.010294117647059,0.1506004954129062,68,-0.306470588235294,0.1450863325684272,68,0,2.9267520832864338,-0.2524192053353598,#DF2020
64,64,dsdp594,3500 ka - M2,3.439354838709677,0.1696061218209407,31,0.092258064516129,0.4537893026315139,31,2,3.368870826835666,0.05990613175420637,#2095DF
72,72,odp1143,3500 ka - M2,3.045611940298508,0.1560568034911492,67,-0.2144328358208954,0.2359683609942678,67,0,2.9267520832864338,-0.2524192053353598,#DF2020
80,80,odp1241,3500 ka - M2,3.155692307692308,0.2017886365634939,65,-0.2492307692307691,0.1224784125405842,65,0,2.9267520832864338,-0.2524192053353598,#DF2020
88,88,dsdp586,3500 ka - M2,3.1425,0.2556527592914523,4,0.1075,0.1701714821388511,4,2,3.368870826835666,0.05990613175420637,#2095DF
96,96,iodpU1338,3500 ka - M2,3.2250869565217397,0.1707930467616711,23,-0.0154782608695652,0.1296088063664928,23,2,3.368870826835666,0.05990613175420637,#2095DF
104,104,odp806,3500 ka - M2,2.5033333333333334,0.167583121358037,66,0.0259090909090909,0.1473559507579392,66,0,2.9267520832864338,-0.2524192053353598,#DF2020
112,112,odp849,3500 ka - M2,3.7774509803921568,0.227242981297596,51,-0.0731372549019607,0.2452467345028547,51,2,3.368870826835666,0.05990613175420637,#2095DF
120,120,odp1123,3500 ka - M2,3.3681993322,0.163066256400319,65,0.1734384220615384,0.238799713642037,65,2,3.368870826835666,0.05990613175420637,#2095DF
128,128,dsdp593,3500 ka - M2,2.0057865745454544,0.1405441603456479,11,0.8705454545454544,0.0849298105924693,11,1,2.0057865745454544,0.8705454545454544,#81DF20
136,136,odp846,3500 ka - M2,3.1935294117647057,0.2531736928819955,85,-0.3336470588235294,0.1874823614485953,85,0,2.9267520832864338,-0.2524192053353598,#DF2020
144,144,odp1123,3500 ka - M2,3.3681993322,0.163066256400319,65,0.1734384220615384,0.238799713642037,65,2,3.368870826835666,0.05990613175420637,#2095DF
