,Unnamed: 0,Site,TimePeriod,d18O,std_d18O,num_d18O,d13C,std_d13C,num_d13C,cluster,cen_x,cen_y,c
14,14,odp1018,G20 - 2800 ka,2.6740000000000004,0.0397492138287036,5,-0.174,0.1083051245324984,5,2,2.6395317011419954,-0.21486123680241326,#2095DF
22,22,odp1148,G20 - 2800 ka,3.360186046511628,0.5321129156849698,43,0.057,0.3129725379706813,43,0,3.5165824603325713,-0.02943086947259927,#DF2020
30,30,odp1014,G20 - 2800 ka,2.1584615384615384,0.1914787261397531,13,-0.2730769230769231,0.1644376586726519,13,2,2.6395317011419954,-0.21486123680241326,#2095DF
38,38,odp1125,G20 - 2800 ka,2.9282142857142857,0.1895216598505186,84,-0.4992307692307691,0.1521770092945782,78,2,2.6395317011419954,-0.21486123680241326,#2095DF
54,54,odp1208,G20 - 2800 ka,3.438074074074074,0.1983796161001031,135,-0.0004580152671755,0.1799908655606203,131,0,3.5165824603325713,-0.02943086947259927,#DF2020
62,62,odp1239,G20 - 2800 ka,3.229705882352942,0.1688730075874238,34,-0.3102941176470588,0.1177178263094253,34,0,3.5165824603325713,-0.02943086947259927,#DF2020
70,70,dsdp594,G20 - 2800 ka,3.438913043478261,0.1448559170865168,46,0.4176086956521739,0.3384355168031517,46,0,3.5165824603325713,-0.02943086947259927,#DF2020
78,78,odp1143,G20 - 2800 ka,3.329465517241379,0.2122270561249959,58,-0.1298620689655172,0.2330078267095871,58,0,3.5165824603325713,-0.02943086947259927,#DF2020
86,86,odp1241,G20 - 2800 ka,3.5921458333333334,0.2381974855239431,48,-0.0852173913043478,0.1492460925293044,46,0,3.5165824603325713,-0.02943086947259927,#DF2020
102,102,iodpU1338,G20 - 2800 ka,3.5075000000000003,0.2015254326381658,2,-0.322,0.1682914139223983,2,0,3.5165824603325713,-0.02943086947259927,#DF2020
110,110,odp806,G20 - 2800 ka,2.797450980392157,0.1764295115592048,51,0.0868627450980392,0.138137470601983,51,2,2.6395317011419954,-0.21486123680241326,#2095DF
118,118,odp849,G20 - 2800 ka,4.082916666666667,0.1944655341484222,48,-0.0854166666666666,0.185724095680426,48,0,3.5165824603325713,-0.02943086947259927,#DF2020
126,126,odp1123,G20 - 2800 ka,3.6683,0.2140219082598551,80,0.1981,0.2894407352818644,80,0,3.5165824603325713,-0.02943086947259927,#DF2020
134,134,dsdp593,G20 - 2800 ka,2.0596170727272725,0.12691875306154,11,0.8107272727272729,0.1191344542179892,11,1,2.0596170727272725,0.8107272727272729,#81DF20
142,142,odp846,G20 - 2800 ka,3.3669,0.1923364844025263,100,-0.2613,0.243628525804879,100,0,3.5165824603325713,-0.02943086947259927,#DF2020
150,150,odp1123,G20 - 2800 ka,3.6683,0.2140219082598551,80,0.1981,0.2894407352818644,80,0,3.5165824603325713,-0.02943086947259927,#DF2020
